2025-01-27 23:34:41,059 - bot.scheduler - INFO - WebSocket thread started.
2025-01-27 23:34:41,064 - bot.scheduler - INFO - Signal-sending job scheduled.
2025-01-27 23:34:42,517 - bot.scheduler - INFO - WebSocket connection established.
2025-01-27 23:34:43,439 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738017000000, 'end': 1738017299999, 'interval': '5', 'open': '101418.8', 'close': '101497.6', 'high': '101546.6', 'low': '101381.8', 'volume': '114.501', 'turnover': '11617197.1081', 'confirm': False, 'timestamp': 1738017281560}]
2025-01-27 23:34:43,440 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738017000000, 'end': 1738017299999, 'interval': '5', 'open': '101418.8', 'close': '101495.9', 'high': '101546.6', 'low': '101381.8', 'volume': '114.735', 'turnover': '11640947.3312', 'confirm': False, 'timestamp': 1738017282560}]
2025-01-28 17:13:16,921 - bot.scheduler - INFO - WebSocket thread started.
2025-01-28 17:13:16,927 - bot.scheduler - INFO - Signal-sending job scheduled.
2025-01-28 17:13:22,940 - bot.scheduler - INFO - WebSocket connection established.
2025-01-28 17:13:23,360 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738080600000, 'end': 1738080899999, 'interval': '5', 'open': '102523.8', 'close': '102440.9', 'high': '102556.6', 'low': '102424.9', 'volume': '184.383', 'turnover': '18897284.1929', 'confirm': False, 'timestamp': 1738080801559}]
2025-01-28 17:13:23,634 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738080600000, 'end': 1738080899999, 'interval': '5', 'open': '102523.8', 'close': '102450.1', 'high': '102556.6', 'low': '102424.9', 'volume': '186.036', 'turnover': '19066621.0469', 'confirm': False, 'timestamp': 1738080802560}]
2025-01-28 17:13:24,471 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738080600000, 'end': 1738080899999, 'interval': '5', 'open': '102523.8', 'close': '102451.1', 'high': '102556.6', 'low': '102424.9', 'volume': '186.086', 'turnover': '19071743.6007', 'confirm': False, 'timestamp': 1738080803559}]
2025-01-28 17:13:25,463 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738080600000, 'end': 1738080899999, 'interval': '5', 'open': '102523.8', 'close': '102469.3', 'high': '102556.6', 'low': '102424.9', 'volume': '187.219', 'turnover': '19187832.8625', 'confirm': False, 'timestamp': 1738080804560}]
2025-01-28 17:13:26,461 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738080600000, 'end': 1738080899999, 'interval': '5', 'open': '102523.8', 'close': '102469.4', 'high': '102556.6', 'low': '102424.9', 'volume': '188.017', 'turnover': '19269603.414', 'confirm': False, 'timestamp': 1738080805560}]
2025-01-28 17:13:28,099 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738080600000, 'end': 1738080899999, 'interval': '5', 'open': '102523.8', 'close': '102469.4', 'high': '102556.6', 'low': '102424.9', 'volume': '188.047', 'turnover': '19272677.496', 'confirm': False, 'timestamp': 1738080806560}]
2025-01-28 17:13:28,468 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738080600000, 'end': 1738080899999, 'interval': '5', 'open': '102523.8', 'close': '102469.4', 'high': '102556.6', 'low': '102424.9', 'volume': '188.58', 'turnover': '19327293.6821', 'confirm': False, 'timestamp': 1738080807560}]
2025-01-28 17:13:29,469 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738080600000, 'end': 1738080899999, 'interval': '5', 'open': '102523.8', 'close': '102469.4', 'high': '102556.6', 'low': '102424.9', 'volume': '189.101', 'turnover': '19380680.2395', 'confirm': False, 'timestamp': 1738080808560}]
2025-01-28 17:16:07,214 - bot.scheduler - INFO - WebSocket thread started.
2025-01-28 17:16:07,217 - bot.scheduler - INFO - Signal-sending job scheduled.
2025-01-28 17:16:09,698 - bot.scheduler - INFO - WebSocket connection established.
2025-01-28 17:16:10,078 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738080900000, 'end': 1738081199999, 'interval': '5', 'open': '102218.4', 'close': '102200.4', 'high': '102309.1', 'low': '102175', 'volume': '140.004', 'turnover': '14313453.703', 'confirm': False, 'timestamp': 1738080968560}]
2025-01-28 17:16:10,664 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738080900000, 'end': 1738081199999, 'interval': '5', 'open': '102218.4', 'close': '102205.2', 'high': '102309.1', 'low': '102175', 'volume': '142.063', 'turnover': '14523874.1667', 'confirm': False, 'timestamp': 1738080969560}]
2025-01-28 17:16:11,445 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738080900000, 'end': 1738081199999, 'interval': '5', 'open': '102218.4', 'close': '102214.9', 'high': '102309.1', 'low': '102175', 'volume': '142.57', 'turnover': '14575696.3093', 'confirm': False, 'timestamp': 1738080970559}]
2025-01-28 17:16:12,443 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738080900000, 'end': 1738081199999, 'interval': '5', 'open': '102218.4', 'close': '102241.8', 'high': '102309.1', 'low': '102175', 'volume': '144.135', 'turnover': '14735671.9832', 'confirm': False, 'timestamp': 1738080971559}]
2025-01-28 17:16:13,464 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738080900000, 'end': 1738081199999, 'interval': '5', 'open': '102218.4', 'close': '102241.8', 'high': '102309.1', 'low': '102175', 'volume': '144.155', 'turnover': '14737716.8173', 'confirm': False, 'timestamp': 1738080972560}]
2025-01-28 17:16:14,442 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738080900000, 'end': 1738081199999, 'interval': '5', 'open': '102218.4', 'close': '102226.7', 'high': '102309.1', 'low': '102175', 'volume': '144.805', 'turnover': '14804167.6789', 'confirm': False, 'timestamp': 1738080973559}]
2025-01-28 17:16:15,456 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738080900000, 'end': 1738081199999, 'interval': '5', 'open': '102218.4', 'close': '102247.3', 'high': '102309.1', 'low': '102175', 'volume': '147.502', 'turnover': '15079876.4889', 'confirm': False, 'timestamp': 1738080974560}]
