open,high,low,close,volume,hour,day_of_week,SMA_50,SMA_200,EMA_9,EMA_21,BB_upper,BB_lower,bollinger_bandwidth,RSI,MACD,MACD_Signal,MACD_Hist,stochastic_oscillator,stochastic_signal,ADX,ATR,VWAP,OBV,lag_1,lag_2,lag_3,lag_4,Bullish,Bearish,Doji,Engulfing,target,Upper_Band,Lower_Band
97285.58,97305.49,97232.76,97232.76,13.379956,10,6,1.8766598853553291,1.7560138027348677,1.8818251803455113,1.8874556258889947,97400.85970582672,97115.35529417342,-0.7404143299519796,-0.3141287426641425,0.1584080090644623,0.17163078818342478,0.003860804826625705,-0.625832458218925,36.19962708239063,-0.27918930927901325,-2.058166771428073,1.684998066198823,0.9269550885336143,97285.58,97272.73,97234.91,97232.77,0,1,0,1,0,1.7106963776662343,1.858029092840586
97232.76,97234.9,97160.56,97180.61,12.8541,10,6,1.8646710588711723,1.754124371432653,1.8513928242430175,1.8731874323324622,97385.78269213327,97140.64330786688,-0.8814940972461686,-0.854241670449594,0.08169987726112403,0.15689466717951642,-0.17831999262297893,-1.0929525090889007,29.08493979616114,-0.2577779795330166,-2.000778969485653,1.6834400219560826,0.902796706840663,97232.76,97285.58,97272.73,97234.91,0,1,0,0,1,1.6817384369750892,1.9008568408072102
97180.61,97182.22,97154.51,97182.22,16.250996,11,6,1.8533182393661916,1.7515787751609713,1.8276464496572191,1.8604932704936492,97380.9457700656,97149.47322993456,-0.9292599418472219,-0.8301036591740174,0.024687193534731974,0.1326460459870225,-0.2786612869316618,-1.4048553093197962,18.789570347957675,-0.22665319834096215,-2.056317714472574,1.6814881505724177,0.9333393169229421,97180.61,97232.76,97285.58,97272.73,1,0,1,0,1,1.6724483145333107,1.9158111856926623
97182.22,97234.84,97177.39,97232.13,14.289185,11,6,1.843746998814263,1.7495996664804783,1.827234169170153,1.8575377429574456,97378.39717046452,97156.8308295356,-0.9638886637320847,-0.1266581219985407,0.03115608315389639,0.114660879741563,-0.21259209757346398,-1.0896791760359212,14.421321335547228,-0.3444682315972258,-2.0384807118897696,1.680040343949571,0.9601948404766093,97182.22,97180.61,97232.76,97285.58,1,0,0,0,1,1.6675533003380385,1.9282720070605792
97232.13,97248.35,97197.39,97221.42,12.978496,11,6,1.8353182925909033,1.7470164722708796,1.8229162980276596,1.853008758372066,97375.8890370426,97162.9329629575,-0.993983613317,-0.24943862764900032,0.0277959021237263,0.09953840261687434,-0.18239541679691945,-0.8198328351434723,16.993409700420994,-0.4873943014853522,-2.037064466406652,1.6786797784988314,0.9358026652042496,97232.13,97182.22,97180.61,97232.76,0,1,0,0,1,1.6627360081769407,1.9386065725569674
97221.42,97265.65,97196.43,97255.82,15.888968,11,6,1.8296489073931104,1.7448847231581657,1.8322714136531533,1.8548083682995582,97375.47709177928,97166.92790822084,-1.0093928529256815,0.19864052957538572,0.06104350274680438,0.0947064521455313,-0.07384721779097174,-0.26466183163649926,27.73111429448892,-0.6270067704271683,-1.9931332831663147,1.6772201173851464,0.9656648689875629,97221.42,97232.13,97182.22,97180.61,1,0,0,0,1,1.661944798013164,1.9453724067979377
97255.82,97295.11,97255.82,97273.53,21.431401,11,6,1.8230644315565938,1.742758640720316,1.8463501194115186,1.859490532662938,97373.32661054198,97166.43138945814,-1.0151611606815973,0.41484468083444825,0.10621418942339571,0.10071263029544457,0.040477284935009065,0.21631599862058093,40.0302465568775,-0.689005067801576,-2.022192167412748,1.675399675744696,1.0059436878525705,97255.82,97221.42,97232.13,97182.22,1,0,0,0,0,1.6578144370909498,1.944531503248655
97273.53,97292.49,97269.1,97281.27,10.959795,11,6,1.8176619794372295,1.7402358910425122,1.8604952018396101,1.8650783411648721,97372.64968157953,97166.2683184206,-1.0169532421441874,0.509827289211399,0.15042714002240054,0.11518000480240505,0.12972904598987792,0.8363171622463309,55.62694113854709,-0.7465749153635259,-2.086283629587511,1.6745038034417716,1.026541855821273,97273.53,97255.82,97221.42,97232.13,1,0,0,0,0,1.6565142811606608,1.9442553263454905
97281.27,97281.86,97249.65,97267.24,10.277386,11,6,1.8133428275636283,1.7374191938498902,1.866586963772516,1.8677449790803937,97361.03191686896,97169.33108313115,-1.0682113552628618,0.30749991774159036,0.17202110050200023,0.13147311386216987,0.1489875547373779,1.026368910104215,67.78514673961678,-0.8548847448949114,-2.1252125745555004,1.6736140724421589,1.007226227827575,97281.27,97273.53,97255.82,97221.42,0,1,0,1,0,1.6342004100341427,1.9494424207072416
97267.24,97329.27,97266.09,97277.8,19.632566,11,6,1.8097424585028934,1.7350508835486869,1.875392565075156,1.871985536438568,97347.49431160068,97174.89068839944,-1.1349071410341864,0.4506310707915628,0.1997798296185596,0.1505740777531664,0.17860582358479993,0.997593925741083,75.14278537857054,-0.8466618907919045,-2.089081550932859,1.6719965537781245,1.04412426215437,97267.24,97281.27,97273.53,97255.82,1,0,0,0,1,1.6081991620559073,1.9588581612079974
97277.8,97277.81,97215.94,97247.69,12.719548,11,6,1.8042021732292612,1.7316047357109339,1.8712250864787618,1.8706616085011147,97326.46982817617,97183.93117182398,-1.239919673889292,0.010876813364997798,0.19213919342703126,0.16418504111646806,0.12069531133426974,0.6360979466976194,73.25723276605574,-0.9690913339576215,-2.05858865800732,1.6708154322846474,1.0202187615323264,97277.8,97267.24,97281.27,97273.53,0,1,0,1,1,1.5678181056000455,1.9741691122847072
97247.69,97295.02,97242.71,97291.47,13.526654,11,6,1.7995067330473762,1.7284954402118309,1.8841933152580055,1.876988285007119,97320.3911436122,97186.98785638796,-1.2718322298388065,0.5985960147227992,0.22936570486302116,0.18320940624248142,0.17779783209271255,0.6798090180828732,69.99352549398971,-1.0439619825995612,-2.0525854333694724,1.66977703414018,1.0456411614172259,97247.69,97277.8,97267.24,97281.27,1,0,0,0,1,1.5561429696091031,1.9793459092731835
97291.47,97300.0,97271.14,97291.94,10.319845,11,6,1.7964979454037333,1.725844695640038,1.8947429106038935,1.8828206500413354,97315.00746899984,97189.80753100028,-1.3004901456582558,0.6045609546387646,0.2588164733839775,0.20486515839705807,0.20555465469860806,0.7752713336290288,67.89981564087144,-1.1021253649485587,-2.1017397893299807,1.6689892408361766,1.0650365881310444,97291.47,97247.69,97277.8,97267.24,1,0,1,0,1,1.5458027170276432,1.9841213065974084
97291.94,97348.14,97290.16,97337.4,15.805167,11,6,1.7956937288175185,1.7231685859521675,1.9201103744981967,1.895942010782912,97328.92724291196,97183.47275708812,-1.2297367275038935,1.1462614190661577,0.32599207582469025,0.23687051951309868,0.31472607527089647,1.2605942854957932,73.78097295087171,-1.0548360590002022,-2.0794214124115467,1.6680446245126785,1.0947412937974728,97291.94,97291.47,97247.69,97277.8,1,0,0,0,0,1.5725379839247318,1.9733927416753276
97337.4,97338.64,97279.61,97292.29,18.831665,12,6,1.7945037312815306,1.7200466078950778,1.9236068863213105,1.9001115105358712,97332.14192948487,97183.3490705152,-1.2180805346222103,0.465117952572276,0.33307449736459666,0.26402262223662276,0.2635321494821806,1.1754802517260625,78.44892745755077,-1.0407077118935666,-2.0562466629369416,1.6666210765204084,1.0593484968701274,97337.4,97291.94,97291.47,97247.69,0,1,0,0,0,1.5787123299865258,1.9731832664336122
97292.29,97292.3,97239.05,97258.29,14.160431,12,6,1.7947345923223605,1.716589756338114,1.9137436298977308,1.8980538970134504,97331.84668863277,97183.14031136734,-1.2183813549189064,0.02131079556650548,0.30389785534014896,0.2793679527955732,0.1389900441350893,0.880021235922231,79.43540346280493,-1.134009867030019,-2.0482169048080303,1.6653839274517093,1.0327349574519884,97292.29,97337.4,97291.94,97291.47,0,1,0,0,0,1.5781452703697019,1.9728297121179197
97258.29,97267.4,97233.15,97236.78,11.462562,12,6,1.792503062163146,1.713390063882965,1.8978434182552482,1.892483576344915,97331.80064879011,97183.58735120996,-1.2201052468489355,-0.2386786268245178,0.2589031250506766,0.2818109327569303,0.002891381015963347,0.17599068935894085,69.2212132881299,-1.2352276554661012,-2.085103847864523,1.6642983108730378,1.0111918740797476,97258.29,97292.29,97337.4,97291.94,0,1,0,0,1,1.5780568430102204,1.9735868183160865
97236.78,97242.73,97210.82,97235.15,12.993136,12,6,1.7897744972960277,1.710432509343919,1.8845162913122249,1.887139285211932,97331.7979635611,97183.614036439,-1.2202079303933473,-0.2585983659237579,0.22153802216580612,0.27559943409610704,-0.08839919131521357,-0.3624187452050794,54.7381405046292,-1.2944049807355957,-2.1248172179087823,1.6630644424646437,0.9867721839515842,97236.78,97258.29,97292.29,97337.4,0,1,1,0,1,1.5780516857740114,1.9736320122118074
97235.15,97270.73,97235.15,97265.86,8.696734,12,6,1.788519570092296,1.707724198551323,1.8852899693824412,1.8875630200058982,97331.23604412684,97183.48895587328,-1.2217324223364932,0.18057171203794545,0.22231438781059376,0.2707999044642992,-0.07350523104332006,-0.4548255471140145,42.16729992789831,-1.3681571177717262,-2.1531286897371698,1.6623358962307009,1.003117087091755,97235.15,97236.78,97258.29,97292.29,1,0,0,0,0,1.5769724248886579,1.9734201760103913
97265.86,97270.53,97247.88,97254.65,10.318857,12,6,1.786480170996655,1.7044563261034362,1.8817346817639788,1.8860200910866185,97328.54811088176,97183.08388911837,-1.22970070318723,0.026372292120377137,0.21182511682168392,0.2646679237423965,-0.08756040732006357,-0.4886127093893073,35.90843675454273,-1.4366412450195618,-2.209594592058943,1.6614327665581632,0.983723517254817,97265.86,97235.15,97236.78,97258.29,0,1,0,0,0,1.5718097969905962,1.9727341554625968
97254.65,97259.61,97201.47,97201.47,23.715522,12,6,1.7829451113092858,1.7014618032569906,1.8590879935630955,1.8754703623178075,97330.17614048664,97178.32685951344,-1.2073823401610768,-0.6270890220271462,0.1514402527897492,0.2465656482892433,-0.21382740787490823,-0.7897369593867186,31.884192763189557,-1.4369763203682957,-2.1791988846848427,1.6589214584219283,0.9391518527646091,97254.65,97265.86,97235.15,97236.78,0,1,0,0,0,1.5749367016657414,1.9646776561536048
